screen_id,bench,old_site_id,site_id,bit_index,trial,classification,due_reason,runner_returncode,summary_result,summary_exit_code,dump_exists,dump,compare_json,stdout,stderr,trace_dir
SUP001,matrix-rotate,17,17,31,1,DUE,timeout,0,FAILURE,134,False,,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/comparisons/SUP001_matrix-rotate_site17_bit31_trial1.json,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/matrix-rotate/site17_bit31.out,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/matrix-rotate/site17_bit31.err,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/matrix-rotate/trace_site17_bit31
SUP001,matrix-rotate,17,17,31,2,DUE,timeout,0,FAILURE,134,False,,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/comparisons/SUP001_matrix-rotate_site17_bit31_trial2.json,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/matrix-rotate/site17_bit31_trial2.out,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/matrix-rotate/site17_bit31_trial2.err,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/matrix-rotate/trace_site17_bit31_trial2
SUP002,matrix-rotate,17,17,13,1,SDC,,0,SDC,0,True,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/matrix-rotate/matrix-rotate_site17_bit13.bin,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/comparisons/SUP002_matrix-rotate_site17_bit13_trial1.json,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/matrix-rotate/site17_bit13.out,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/matrix-rotate/site17_bit13.err,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/matrix-rotate/trace_site17_bit13
SUP002,matrix-rotate,17,17,13,2,SDC,,0,SDC,0,True,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/matrix-rotate/matrix-rotate_site17_bit13_trial2.bin,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/comparisons/SUP002_matrix-rotate_site17_bit13_trial2.json,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/matrix-rotate/site17_bit13_trial2.out,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/matrix-rotate/site17_bit13_trial2.err,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/matrix-rotate/trace_site17_bit13_trial2
SUP003,layout,16,16,0,1,MASKED,,0,MASKED,0,True,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/layout/layout_site16_bit0.bin,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/comparisons/SUP003_layout_site16_bit0_trial1.json,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/layout/site16_bit0.out,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/layout/site16_bit0.err,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/layout/trace_site16_bit0
SUP003,layout,16,16,0,2,MASKED,,0,MASKED,0,True,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/layout/layout_site16_bit0_trial2.bin,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/comparisons/SUP003_layout_site16_bit0_trial2.json,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/layout/site16_bit0_trial2.out,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/layout/site16_bit0_trial2.err,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/layout/trace_site16_bit0_trial2
SUP010,dense-embedding,192,192,0,1,SDC,,0,SDC,0,True,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/dense-embedding/dense-embedding_site192_bit0.bin,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/comparisons/SUP010_dense-embedding_site192_bit0_trial1.json,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/dense-embedding/site192_bit0.out,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/dense-embedding/site192_bit0.err,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/dense-embedding/trace_site192_bit0
SUP010,dense-embedding,192,192,0,2,SDC,,0,SDC,0,True,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/dense-embedding/dense-embedding_site192_bit0_trial2.bin,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/comparisons/SUP010_dense-embedding_site192_bit0_trial2.json,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/dense-embedding/site192_bit0_trial2.out,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/dense-embedding/site192_bit0_trial2.err,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/dense-embedding/trace_site192_bit0_trial2
SUP006,entropy,26,26,0,1,DUE,timeout,0,FAILURE,124,False,,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/comparisons/SUP006_entropy_site26_bit0_trial1.json,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/entropy/site26_bit0.out,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/entropy/site26_bit0.err,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/entropy/trace_site26_bit0
SUP006,entropy,26,26,0,2,DUE,timeout,0,FAILURE,124,False,,/home/mdunlavy/GPU_FI/divergence_cases/supplemental_screen/intel_supplemental_debug_rerun_20260724T003859Z/comparisons/SUP006_entropy_site26_bit0_trial2.json,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/entropy/site26_bit0_trial2.out,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/entropy/site26_bit0_trial2.err,/lus/flare/projects/UIC-HPC/mdunlavy/GPU_FI_supplemental_dumps/intel_supplemental_debug_rerun_20260724T003859Z/local_dumps/entropy/trace_site26_bit0_trial2
