run_label,record_kind,record_index,t,iteration,bx,tx,expected_small_block_cols,actual_small_block_cols,blkX,blkXmax,xidx,validXmin,validXmax,isValid,computed,final_write,index,value,total_computed_threads,total_final_writes,records_captured,records_truncated
injected,detail,0,0,999,10,160,-1748,2147481900,-18480,-18231,-18320,18480,249,0,0,0,-1,0,,,,
injected,detail,1,0,999,10,161,-1748,2147481900,-18480,-18231,-18319,18480,249,0,0,0,-1,0,,,,
injected,detail,2,0,999,10,162,-1748,2147481900,-18480,-18231,-18318,18480,249,0,0,0,-1,0,,,,
injected,detail,3,0,999,10,163,-1748,2147481900,-18480,-18231,-18317,18480,249,0,0,0,-1,0,,,,
injected,detail,4,0,999,10,164,-1748,2147481900,-18480,-18231,-18316,18480,249,0,0,0,-1,0,,,,
injected,detail,5,0,999,10,165,-1748,2147481900,-18480,-18231,-18315,18480,249,0,0,0,-1,0,,,,
injected,detail,6,0,999,10,166,-1748,2147481900,-18480,-18231,-18314,18480,249,0,0,0,-1,0,,,,
injected,detail,7,0,999,10,167,-1748,2147481900,-18480,-18231,-18313,18480,249,0,0,0,-1,0,,,,
injected,detail,8,0,999,10,168,-1748,2147481900,-18480,-18231,-18312,18480,249,0,0,0,-1,0,,,,
injected,detail,9,0,999,10,169,-1748,2147481900,-18480,-18231,-18311,18480,249,0,0,0,-1,0,,,,
injected,detail,10,0,999,10,170,-1748,2147481900,-18480,-18231,-18310,18480,249,0,0,0,-1,0,,,,
injected,detail,11,0,999,10,171,-1748,2147481900,-18480,-18231,-18309,18480,249,0,0,0,-1,0,,,,
injected,detail,12,0,999,10,172,-1748,2147481900,-18480,-18231,-18308,18480,249,0,0,0,-1,0,,,,
injected,detail,13,0,999,10,173,-1748,2147481900,-18480,-18231,-18307,18480,249,0,0,0,-1,0,,,,
injected,detail,14,0,999,10,174,-1748,2147481900,-18480,-18231,-18306,18480,249,0,0,0,-1,0,,,,
injected,detail,15,0,999,10,175,-1748,2147481900,-18480,-18231,-18305,18480,249,0,0,0,-1,0,,,,
injected,detail,16,0,999,10,176,-1748,2147481900,-18480,-18231,-18304,18480,249,0,0,0,-1,0,,,,
injected,detail,17,0,999,10,177,-1748,2147481900,-18480,-18231,-18303,18480,249,0,0,0,-1,0,,,,
injected,detail,18,0,999,10,178,-1748,2147481900,-18480,-18231,-18302,18480,249,0,0,0,-1,0,,,,
injected,detail,19,0,999,10,179,-1748,2147481900,-18480,-18231,-18301,18480,249,0,0,0,-1,0,,,,
injected,detail,20,0,999,10,180,-1748,2147481900,-18480,-18231,-18300,18480,249,0,0,0,-1,0,,,,
injected,detail,21,0,999,10,181,-1748,2147481900,-18480,-18231,-18299,18480,249,0,0,0,-1,0,,,,
injected,detail,22,0,999,10,182,-1748,2147481900,-18480,-18231,-18298,18480,249,0,0,0,-1,0,,,,
injected,detail,23,0,999,10,183,-1748,2147481900,-18480,-18231,-18297,18480,249,0,0,0,-1,0,,,,
injected,detail,24,0,999,10,184,-1748,2147481900,-18480,-18231,-18296,18480,249,0,0,0,-1,0,,,,
injected,detail,25,0,999,10,185,-1748,2147481900,-18480,-18231,-18295,18480,249,0,0,0,-1,0,,,,
injected,detail,26,0,999,10,186,-1748,2147481900,-18480,-18231,-18294,18480,249,0,0,0,-1,0,,,,
injected,detail,27,0,999,10,187,-1748,2147481900,-18480,-18231,-18293,18480,249,0,0,0,-1,0,,,,
injected,detail,28,0,999,10,188,-1748,2147481900,-18480,-18231,-18292,18480,249,0,0,0,-1,0,,,,
injected,detail,29,0,999,10,189,-1748,2147481900,-18480,-18231,-18291,18480,249,0,0,0,-1,0,,,,
injected,detail,30,0,999,10,190,-1748,2147481900,-18480,-18231,-18290,18480,249,0,0,0,-1,0,,,,
injected,detail,31,0,999,10,191,-1748,2147481900,-18480,-18231,-18289,18480,249,0,0,0,-1,0,,,,
injected,detail,32,0,999,10,128,-1748,2147481900,-18480,-18231,-18352,18480,249,0,0,0,-1,0,,,,
injected,detail,33,0,999,10,129,-1748,2147481900,-18480,-18231,-18351,18480,249,0,0,0,-1,0,,,,
injected,detail,34,0,999,10,130,-1748,2147481900,-18480,-18231,-18350,18480,249,0,0,0,-1,0,,,,
injected,detail,35,0,999,10,131,-1748,2147481900,-18480,-18231,-18349,18480,249,0,0,0,-1,0,,,,
injected,detail,36,0,999,10,132,-1748,2147481900,-18480,-18231,-18348,18480,249,0,0,0,-1,0,,,,
injected,detail,37,0,999,10,133,-1748,2147481900,-18480,-18231,-18347,18480,249,0,0,0,-1,0,,,,
injected,detail,38,0,999,10,134,-1748,2147481900,-18480,-18231,-18346,18480,249,0,0,0,-1,0,,,,
injected,detail,39,0,999,10,135,-1748,2147481900,-18480,-18231,-18345,18480,249,0,0,0,-1,0,,,,
injected,detail,40,0,999,10,136,-1748,2147481900,-18480,-18231,-18344,18480,249,0,0,0,-1,0,,,,
injected,detail,41,0,999,10,137,-1748,2147481900,-18480,-18231,-18343,18480,249,0,0,0,-1,0,,,,
