screen_id,screen_kind,bench,bit_index,value_bitwidth,original_nvidia_site_id,original_amd_site_id,original_intel_site_id,original_nvidia_result,original_amd_result,original_intel_result,match_tier,semantic_match_key,opcode,canonical_line,selection_reason
SUP001,DUE,matrix-rotate,31,32,16,140,17,DUE,,SDC,family_full,356221f091c4|load|int|32|value|-1|7,load,for(int i = first; i < last; ++i) {,NVIDIA DUE versus Intel SDC
SUP002,DUE,matrix-rotate,13,32,16,140,17,SDC,,DUE,family_full,356221f091c4|load|int|32|value|-1|7,load,for(int i = first; i < last; ++i) {,Intel DUE versus NVIDIA SDC
SUP003,DUE,layout,0,32,14,134,16,MASKED,,DUE,source_context_type_family,{|res += trees[gid].apples[i];|}|add|int|32|value,add,res += trees[gid].apples[i];,Intel DUE versus NVIDIA MASKED
SUP004,DUE,dense-embedding,11,32,44,147,33,DUE,,SDC,source_context_type_family,for (int idx = tid; idx < embedding_dim; idx += grain_size) {|T dense_elem = dense[batch_idx * embedding_dim + idx];|for (int nested_idx = idx; nested_idx < range; nested_idx += embedding_dim) {|add|int|32|value,add,T dense_elem = dense[batch_idx * embedding_dim + idx];,NVIDIA DUE versus Intel SDC
SUP005,DUE,dense-embedding,7,32,47,114,18,DUE,,SDC,source_text_type_family,int range = offset[batch_idx + 1] - offset[batch_idx];|add|int|32|value,add,int range = offset[batch_idx + 1] - offset[batch_idx];,NVIDIA DUE versus Intel SDC at a distinct site
SUP006,DUE,entropy,0,32,22,143,26,DUE,,MASKED,source_context_type_family,char count[16];|for (int i = 0; i < 16; i++) count[i] = 0;|char total = 0;|add|int|32|value,add,for (int i = 0; i < 16; i++) count[i] = 0;,NVIDIA DUE versus Intel MASKED
SUP007,DUE,entropy,0,1,18,135,22,MASKED,,DUE,source_context_type_family,char count[16];|for (int i = 0; i < 16; i++) count[i] = 0;|char total = 0;|icmp|int|1|value,icmp,for (int i = 0; i < 16; i++) count[i] = 0;,Intel DUE versus NVIDIA MASKED
SUP008,SDC_MASKED,matrix-rotate,0,1,9,124,11,MASKED,,SDC,source_text_type_family,if (layer < n/2) {|icmp|int|1|value,icmp,if (layer < n/2) {,Predicate SDC versus MASKED candidate
SUP009,SDC_MASKED,layout,12,32,31,174,58,SDC,,MASKED,family_full,33dcf2732312|load|int|32|value|-1|4,load,res += applesOnTrees[i].trees[gid];,Load SDC versus MASKED candidate
SUP010,SDC_MASKED,dense-embedding,0,32,128,376,192,SDC,,MASKED,source_context_type_family,T input_elem = input[start + idx];|T dense_elem = dense[batch_idx * embedding_dim + idx % embedding_dim];|output[start + idx] = input_elem + dense_elem;|add|int|32|value,add,T dense_elem = dense[batch_idx * embedding_dim + idx % embedding_dim];,Address SDC versus MASKED candidate
SUP011,SDC_MASKED,entropy,10,32,60,225,64,MASKED,,SDC,family_full,cd1c2c6965d0|sext|int|32|value|-1|1,sext,if (total < 1) {,Extension SDC versus MASKED candidate
