screen_id,bench,original_site_id,fresh_site_id,bit_index,match_count,status,semantic_match_key,original_result,function,site_class,opcode,type_kind,bitwidth,operand_index,source_line,source_column,signature_ordinal,old_source_file,fresh_source_file
DUE001,colorwheel,26,26,0,1,RESOLVED,259f132710d3|add|int|32|value|-1|3,SDC,_Z12computeColorffPh,result,add,int,32,-1,43,71,3,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/colorwheel-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/colorwheel-cuda/main.cu
DUE002,colorwheel,150,150,1,1,RESOLVED,4a29794e22f9|load|int|32|value|-1|28,DUE,_Z12computeColorffPh,result,load,int,32,-1,56,21,28,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/colorwheel-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/colorwheel-cuda/main.cu
DUE003,colorwheel,7,7,3,1,RESOLVED,4fa0b31a15c7|load|int|32|value|-1|5,SDC,_Z7setcolsPA3_iiiii,result,load,int,32,-1,28,14,5,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/colorwheel-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/colorwheel-cuda/main.cu
DUE004,colorwheel,233,233,13,1,RESOLVED,5efa48040b87|load|int|32|value|-1|15,MASKED,_Z5colorPhiiff,result,load,int,32,-1,77,30,15,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/colorwheel-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/colorwheel-cuda/main.cu
DUE005,colorwheel,238,238,4,1,RESOLVED,6ecb7dc32d12|load|float|32|value|-1|6,DUE,_Z5colorPhiiff,result,load,float,32,-1,78,21,6,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/colorwheel-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/colorwheel-cuda/main.cu
DUE006,colorwheel,1,1,12,1,RESOLVED,8f5a40cb06b1|load|int|32|value|-1|1,SDC,_Z7setcolsPA3_iiiii,result,load,int,32,-1,26,14,1,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/colorwheel-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/colorwheel-cuda/main.cu
DUE007,colorwheel,160,160,62,1,RESOLVED,a2a842de0039|sext|int|64|value|-1|4,SDC,_Z12computeColorffPh,result,sext,int,64,-1,57,18,4,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/colorwheel-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/colorwheel-cuda/main.cu
DUE008,colorwheel,17,17,1,1,RESOLVED,e2d55974a121|load|int|32|value|-1|4,DUE,_Z12computeColorffPh,result,load,int,32,-1,42,24,4,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/colorwheel-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/colorwheel-cuda/main.cu
DUE009,colorwheel,183,183,10,1,RESOLVED,eeb981d25e2d|fptosi|int|32|value|-1|2,SDC,_Z12computeColorffPh,result,fptosi,int,32,-1,63,23,2,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/colorwheel-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/colorwheel-cuda/main.cu
DUE010,colorwheel,181,181,8,1,RESOLVED,col *= .75f;|pix[2 - b] = (int)(255.f * col);|}|load|float|32|value,SDC,_Z12computeColorffPh,result,load,float,32,-1,63,32,21,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/colorwheel-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/colorwheel-cuda/main.cu
DUE011,randomAccess,117,117,0,1,RESOLVED,7b6a6b3cea90|add|int|64|value|-1|1,DUE,_Z6updatePyy,result,add,int,64,-1,69,36,1,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/randomAccess-cuda/main.cu
DUE012,randomAccess,102,102,0,1,RESOLVED,u64Int ran = HPCC_starts ((NUPDATE/128) * j);|for (u64Int i=0; i<NUPDATE/128; i++) {|ran = (ran << 1) ^ ((s64Int) ran < 0 ? POLY : 0);|icmp|int|1|value,SDC,_Z6updatePyy,result,icmp,int,1,-1,69,21,1,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/randomAccess-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/randomAccess-cuda/main.cu
