screen_id,screen_kind,bench,original_site_id,fresh_site_id,bit_index,match_count,status,original_result,semantic_match_key,function,site_class,opcode,type_kind,bitwidth,operand_index,source_line,source_column,signature_ordinal,old_source_file,fresh_source_file,metadata_source
SUP001,DUE,matrix-rotate,16,16,31,1,RESOLVED,DUE,356221f091c4|load|int|32|value|-1|7,_Z22rotate_matrix_parallelPfi,result,load,int,32,-1,12,24,7,/home/mdunlavy/GPU_FI/HeCBench/src/matrix-rotate-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/matrix-rotate-cuda/main.cu,divergence_cases/original_campaign/nvidia/matrix-rotate/HeCBench/results/llvm17_inject/matrix-rotate-cuda/sites_metadata.csv
SUP002,DUE,matrix-rotate,16,16,13,1,RESOLVED,SDC,356221f091c4|load|int|32|value|-1|7,_Z22rotate_matrix_parallelPfi,result,load,int,32,-1,12,24,7,/home/mdunlavy/GPU_FI/HeCBench/src/matrix-rotate-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/matrix-rotate-cuda/main.cu,divergence_cases/original_campaign/nvidia/matrix-rotate/HeCBench/results/llvm17_inject/matrix-rotate-cuda/sites_metadata.csv
SUP003,DUE,layout,14,14,0,1,RESOLVED,MASKED,{|res += trees[gid].apples[i];|}|add|int|32|value,_Z9AoSKernelILi4096EEvPK9AppleTreePi,result,add,int,32,-1,48,9,2,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/layout-cuda/main.cu,divergence_cases/original_campaign/nvidia/layout/HeCBench/results/llvm17_inject/layout-cuda/sites_metadata.csv
SUP004,DUE,dense-embedding,44,44,11,1,RESOLVED,DUE,for (int idx = tid; idx < embedding_dim; idx += grain_size) {|T dense_elem = dense[batch_idx * embedding_dim + idx];|for (int nested_idx = idx; nested_idx < range; nested_idx += embedding_dim) {|add|int|32|value,_Z11dense_esuhmIfEvPKT_S2_PS0_iPKi,result,add,int,32,-1,42,63,5,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/dense-embedding-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/dense-embedding-cuda/main.cu,divergence_cases/original_campaign/nvidia/dense-embedding/HeCBench/results/llvm17_inject/dense-embedding-cuda/sites_metadata.csv
SUP005,DUE,dense-embedding,47,47,7,1,RESOLVED,DUE,int range = offset[batch_idx + 1] - offset[batch_idx];|add|int|32|value,_Z11dense_esuhmIfEvPKT_S2_PS0_iPKi,result,add,int,32,-1,40,48,6,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/dense-embedding-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/dense-embedding-cuda/main.cu,divergence_cases/original_campaign/nvidia/dense-embedding/HeCBench/results/llvm17_inject/dense-embedding-cuda/sites_metadata.csv
SUP006,DUE,entropy,22,22,0,1,RESOLVED,DUE,char count[16];|for (int i = 0; i < 16; i++) count[i] = 0;|char total = 0;|add|int|32|value,_Z7entropyPfPKcii,result,add,int,32,-1,20,28,3,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/entropy-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/entropy-cuda/main.cu,divergence_cases/original_campaign/nvidia/entropy/HeCBench/results/llvm17_inject/entropy-cuda/sites_metadata.csv
SUP007,DUE,entropy,18,18,0,1,RESOLVED,MASKED,char count[16];|for (int i = 0; i < 16; i++) count[i] = 0;|char total = 0;|icmp|int|1|value,_Z7entropyPfPKcii,result,icmp,int,1,-1,20,21,3,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/entropy-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/entropy-cuda/main.cu,divergence_cases/original_campaign/nvidia/entropy/HeCBench/results/llvm17_inject/entropy-cuda/sites_metadata.csv
SUP008,SDC_MASKED,matrix-rotate,9,9,0,1,RESOLVED,MASKED,if (layer < n/2) {|icmp|int|1|value,_Z22rotate_matrix_parallelPfi,result,icmp,int,1,-1,9,13,1,/home/mdunlavy/GPU_FI/HeCBench/src/matrix-rotate-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/matrix-rotate-cuda/main.cu,divergence_cases/original_campaign/nvidia/matrix-rotate/HeCBench/results/llvm17_inject/matrix-rotate-cuda/sites_metadata.csv
SUP009,SDC_MASKED,layout,31,31,12,1,RESOLVED,SDC,33dcf2732312|load|int|32|value|-1|4,_Z9SoAKernelILi4096EEvPK13ApplesOnTreesPi,result,load,int,32,-1,62,12,4,/home/mdunlavy/GPU_FI/HeCBench/src/layout-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/layout-cuda/main.cu,divergence_cases/original_campaign/nvidia/layout/HeCBench/results/llvm17_inject/layout-cuda/sites_metadata.csv
SUP010,SDC_MASKED,dense-embedding,128,128,0,1,RESOLVED,SDC,T input_elem = input[start + idx];|T dense_elem = dense[batch_idx * embedding_dim + idx % embedding_dim];|output[start + idx] = input_elem + dense_elem;|add|int|32|value,_Z12dense_esuhm3IfEvPKT_S2_PS0_iPKi,result,add,int,32,-1,85,20,5,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/dense-embedding-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/dense-embedding-cuda/main.cu,divergence_cases/original_campaign/nvidia/dense-embedding/HeCBench/results/llvm17_inject/dense-embedding-cuda/sites_metadata.csv
SUP011,SDC_MASKED,entropy,60,60,10,1,RESOLVED,MASKED,cd1c2c6965d0|sext|int|32|value|-1|1,_Z7entropyPfPKcii,result,sext,int,32,-1,38,7,1,/home/mdunlavy/GPU_FI_outcome_divergence/HeCBench/src/entropy-cuda/main.cu,/home/mdunlavy/GPU_FI_semantic_crosswalk/HeCBench/src/entropy-cuda/main.cu,divergence_cases/original_campaign/nvidia/entropy/HeCBench/results/llvm17_inject/entropy-cuda/sites_metadata.csv
