trace_case_id,batch_id,machine,bench,site_id,bit_index,expected_rerun_result,divergence_pattern,nvidia_site_id,intel_site_id,amd_site_id,nvidia_rerun_result,intel_rerun_result,amd_rerun_result,trace_level,debug_level,run_mode,notes
TRACE002,batch02_followup_10,amd,colorwheel,141,6,MASKED,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,20,75,141,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE004,batch02_followup_10,amd,colorwheel,147,0,SDC,NVIDIA=SDC;INTEL=MASKED;AMD=SDC,23,78,147,SDC,MASKED,SDC,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE006,batch02_followup_10,amd,colorwheel,149,4,MASKED,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,24,79,149,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE007,batch02_followup_10,amd,colorwheel,293,2,MASKED,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,145,146,293,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE008,batch02_followup_10,amd,colorwheel,295,7,SDC,NVIDIA=SDC;INTEL=MASKED;AMD=SDC,146,147,295,SDC,MASKED,SDC,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE011,batch02_followup_10,amd,randomAccess,320,2,MASKED,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,102,61,320,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE014,batch02_followup_10,amd,randomAccess,137,8,SDC,NVIDIA=MASKED;INTEL=MASKED;AMD=SDC,18,94,137,MASKED,MASKED,SDC,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE015,batch02_followup_10,amd,randomAccess,249,0,MASKED,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,71,147,249,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE016,batch02_followup_10,amd,randomAccess,243,0,MASKED,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,68,144,243,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
TRACE017,batch02_followup_10,amd,randomAccess,243,1,MASKED,NVIDIA=SDC;INTEL=SDC;AMD=MASKED,68,144,243,SDC,SDC,MASKED,full,full,single_scheduler_job_for_this_batch,"Use local golden output if present; rebuild only if missing. After extracting compact trace summaries, bulky trace artifacts may be deleted before the next batch."
