site_id,opcode,site_class,type_kind,bitwidth,operand_index
1,call,pointer,pointer,64,0
2,call,pointer,pointer,64,0
3,alloca,pointer,pointer,32,-1
4,alloca,operand,int,32,0
5,alloca,pointer,pointer,32,-1
6,alloca,operand,int,32,0
7,alloca,pointer,pointer,32,-1
8,alloca,operand,int,32,0
9,alloca,pointer,pointer,32,-1
10,alloca,operand,int,32,0
11,alloca,pointer,pointer,32,-1
12,alloca,operand,int,32,0
13,alloca,pointer,pointer,32,-1
14,alloca,operand,int,32,0
15,alloca,pointer,pointer,32,-1
16,alloca,operand,int,32,0
17,alloca,pointer,pointer,32,-1
18,alloca,operand,int,32,0
19,alloca,pointer,pointer,32,-1
20,alloca,operand,int,32,0
21,alloca,pointer,pointer,32,-1
22,alloca,operand,int,32,0
23,alloca,pointer,pointer,32,-1
24,alloca,operand,int,32,0
25,addrspacecast,pointer,pointer,64,-1
26,addrspacecast,pointer,pointer,32,0
27,addrspacecast,pointer,pointer,64,-1
28,addrspacecast,pointer,pointer,32,0
29,addrspacecast,pointer,pointer,64,-1
30,addrspacecast,pointer,pointer,32,0
31,addrspacecast,pointer,pointer,64,-1
32,addrspacecast,pointer,pointer,32,0
33,addrspacecast,pointer,pointer,64,-1
34,addrspacecast,pointer,pointer,32,0
35,addrspacecast,pointer,pointer,64,-1
36,addrspacecast,pointer,pointer,32,0
37,addrspacecast,pointer,pointer,64,-1
38,addrspacecast,pointer,pointer,32,0
39,addrspacecast,pointer,pointer,64,-1
40,addrspacecast,pointer,pointer,32,0
41,addrspacecast,pointer,pointer,64,-1
42,addrspacecast,pointer,pointer,32,0
43,addrspacecast,pointer,pointer,64,-1
44,addrspacecast,pointer,pointer,32,0
45,addrspacecast,pointer,pointer,64,-1
46,addrspacecast,pointer,pointer,32,0
47,store,pointer,pointer,64,0
48,store,pointer,pointer,64,1
49,store,pointer,pointer,64,0
50,store,pointer,pointer,64,1
51,store,operand,int,32,0
52,store,pointer,pointer,64,1
53,store,pointer,pointer,64,0
54,store,pointer,pointer,64,1
55,call,pointer,pointer,64,0
56,call,pointer,pointer,64,1
57,call,operand,int,64,2
58,call,operand,int,1,3
59,call,pointer,pointer,64,4
60,call,int,int,64,-1
61,call,pointer,pointer,64,0
62,store,operand,int,64,0
63,store,pointer,pointer,64,1
64,store,operand,int,32,0
65,store,pointer,pointer,64,1
66,getelementptr,pointer,pointer,64,-1
67,getelementptr,pointer,pointer,64,0
68,getelementptr,operand,int,64,1
69,getelementptr,operand,int,64,2
70,store,pointer,pointer,64,0
71,store,pointer,pointer,64,1
72,load,pointer,pointer,64,-1
73,load,pointer,pointer,64,0
74,getelementptr,pointer,pointer,64,-1
75,getelementptr,pointer,pointer,64,0
76,getelementptr,operand,int,32,1
77,store,pointer,pointer,64,0
78,store,pointer,pointer,64,1
79,load,int,int,8,-1
80,load,pointer,pointer,64,0
81,icmp,int,int,1,-1
82,icmp,operand,int,8,0
83,icmp,operand,int,8,1
84,br,operand,int,1,0
85,load,pointer,pointer,64,-1
86,load,pointer,pointer,64,0
87,getelementptr,pointer,pointer,64,-1
88,getelementptr,pointer,pointer,64,0
89,getelementptr,operand,int,64,1
90,getelementptr,operand,int,64,2
91,ptrtoint,int,int,64,-1
92,ptrtoint,pointer,pointer,64,0
93,ptrtoint,int,int,64,-1
94,ptrtoint,pointer,pointer,64,0
95,sub,int,int,64,-1
96,sub,operand,int,64,0
97,sub,operand,int,64,1
98,trunc,int,int,32,-1
99,trunc,operand,int,64,0
100,store,operand,int,32,0
101,store,pointer,pointer,64,1
102,load,int,int,64,-1
103,load,pointer,pointer,64,0
104,getelementptr,pointer,pointer,64,-1
105,getelementptr,pointer,pointer,64,0
106,getelementptr,operand,int,64,1
107,getelementptr,operand,int,64,2
108,load,int,int,32,-1
109,load,pointer,pointer,64,0
110,sext,int,int,64,-1
111,sext,operand,int,32,0
112,call,int,int,64,-1
113,call,operand,int,64,0
114,call,pointer,pointer,64,1
115,call,operand,int,64,2
116,call,operand,int,32,3
117,call,pointer,pointer,64,4
118,store,operand,int,64,0
119,store,pointer,pointer,64,1
120,load,pointer,pointer,64,-1
121,load,pointer,pointer,64,0
122,store,pointer,pointer,64,0
123,store,pointer,pointer,64,1
124,load,pointer,pointer,64,-1
125,load,pointer,pointer,64,0
126,getelementptr,pointer,pointer,64,-1
127,getelementptr,pointer,pointer,64,0
128,getelementptr,operand,int,32,1
129,store,pointer,pointer,64,0
130,store,pointer,pointer,64,1
131,load,int,int,8,-1
132,load,pointer,pointer,64,0
133,icmp,int,int,1,-1
134,icmp,operand,int,8,0
135,icmp,operand,int,8,1
136,br,operand,int,1,0
137,load,pointer,pointer,64,-1
138,load,pointer,pointer,64,0
139,load,pointer,pointer,64,-1
140,load,pointer,pointer,64,0
141,ptrtoint,int,int,64,-1
142,ptrtoint,pointer,pointer,64,0
143,ptrtoint,int,int,64,-1
144,ptrtoint,pointer,pointer,64,0
145,sub,int,int,64,-1
146,sub,operand,int,64,0
147,sub,operand,int,64,1
148,trunc,int,int,32,-1
149,trunc,operand,int,64,0
150,store,operand,int,32,0
151,store,pointer,pointer,64,1
152,load,int,int,64,-1
153,load,pointer,pointer,64,0
154,load,pointer,pointer,64,-1
155,load,pointer,pointer,64,0
156,load,int,int,32,-1
157,load,pointer,pointer,64,0
158,sext,int,int,64,-1
159,sext,operand,int,32,0
160,call,int,int,64,-1
161,call,operand,int,64,0
162,call,pointer,pointer,64,1
163,call,operand,int,64,2
164,call,operand,int,32,3
165,call,pointer,pointer,64,4
166,store,operand,int,64,0
167,store,pointer,pointer,64,1
168,load,int,int,64,-1
169,load,pointer,pointer,64,0
170,load,int,int,32,-1
171,load,pointer,pointer,64,0
172,zext,int,int,64,-1
173,zext,operand,int,32,0
