trace_case_id,benchmark,phase,trial,path,bytes,sha256,basename
BASELINE,colorwheel,baseline,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_baseline.bin,200,06f36daec9cfd6acb5e46013220ab81722a91991b38616e0c06c2846cdd04026,colorwheel_baseline.bin
TRACE001,colorwheel,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site65_bit2.bin,200,9eac76f567f7fa370cdf13078ca3f101ca07f92c8c14a97a4bb04edd074d8533,colorwheel_site65_bit2.bin
TRACE001,colorwheel,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site65_bit2_trial2.bin,200,9eac76f567f7fa370cdf13078ca3f101ca07f92c8c14a97a4bb04edd074d8533,colorwheel_site65_bit2_trial2.bin
TRACE002,colorwheel,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site65_bit6.bin,200,9eac76f567f7fa370cdf13078ca3f101ca07f92c8c14a97a4bb04edd074d8533,colorwheel_site65_bit6.bin
TRACE002,colorwheel,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site65_bit6_trial2.bin,200,9eac76f567f7fa370cdf13078ca3f101ca07f92c8c14a97a4bb04edd074d8533,colorwheel_site65_bit6_trial2.bin
TRACE003,colorwheel,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site67_bit2.bin,200,2ca9d058161f94a7ffe9ead0de0f5fa738fd0f6d3367591c07d3b233f305261c,colorwheel_site67_bit2.bin
TRACE003,colorwheel,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site67_bit2_trial2.bin,200,2ca9d058161f94a7ffe9ead0de0f5fa738fd0f6d3367591c07d3b233f305261c,colorwheel_site67_bit2_trial2.bin
TRACE004,colorwheel,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site68_bit0.bin,200,556c936785c02e75d299a36c001b89b259cc02e43216ac1dd233e49f849dd5f7,colorwheel_site68_bit0.bin
TRACE004,colorwheel,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site68_bit0_trial2.bin,200,556c936785c02e75d299a36c001b89b259cc02e43216ac1dd233e49f849dd5f7,colorwheel_site68_bit0_trial2.bin
TRACE005,colorwheel,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site69_bit0.bin,200,556c936785c02e75d299a36c001b89b259cc02e43216ac1dd233e49f849dd5f7,colorwheel_site69_bit0.bin
TRACE005,colorwheel,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site69_bit0_trial2.bin,200,556c936785c02e75d299a36c001b89b259cc02e43216ac1dd233e49f849dd5f7,colorwheel_site69_bit0_trial2.bin
TRACE006,colorwheel,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site69_bit4.bin,200,b99221138493bb6dca19b3dad686ecad40e9d3da6695974249cd49a6e986ead7,colorwheel_site69_bit4.bin
TRACE006,colorwheel,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site69_bit4_trial2.bin,200,b99221138493bb6dca19b3dad686ecad40e9d3da6695974249cd49a6e986ead7,colorwheel_site69_bit4_trial2.bin
TRACE007,colorwheel,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site139_bit2.bin,200,edf3dc1bcc176a74a4484b4419f193506ab67b79c77154ad45484604066db6f6,colorwheel_site139_bit2.bin
TRACE007,colorwheel,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site139_bit2_trial2.bin,200,edf3dc1bcc176a74a4484b4419f193506ab67b79c77154ad45484604066db6f6,colorwheel_site139_bit2_trial2.bin
TRACE008,colorwheel,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site140_bit7.bin,200,b208b511c6379340351184961af60f70335d2a6f98692960c50dc4b1a4e88224,colorwheel_site140_bit7.bin
TRACE008,colorwheel,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site140_bit7_trial2.bin,200,b208b511c6379340351184961af60f70335d2a6f98692960c50dc4b1a4e88224,colorwheel_site140_bit7_trial2.bin
TRACE009,colorwheel,injection,1,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site52_bit1.bin,200,a104cb0dcfac398bdfef0b6ce36f99f8e445923ed169875b0e76b4270eb0f4f1,colorwheel_site52_bit1.bin
TRACE009,colorwheel,injection,2,/ccs/home/mdunlavy/GPU_FI/divergence_cases/semantic_remap/results/frontier_amd_colorwheel_randomAccess_20260722_165333/raw/colorwheel/colorwheel_site52_bit1_trial2.bin,200,a104cb0dcfac398bdfef0b6ce36f99f8e445923ed169875b0e76b4270eb0f4f1,colorwheel_site52_bit1_trial2.bin
