site_id,opcode,type_kind,bitwidth
1,load,int,32
2,load,int,32
3,sext,int,64
4,load,int,32
5,load,int,32
6,sext,int,64
7,load,int,32
8,load,int,32
9,sext,int,64
10,load,int,32
11,icmp,int,1
12,load,int,32
13,mul,int,32
14,sdiv,int,32
15,load,int,32
16,add,int,32
17,load,int,32
18,add,int,32
19,load,int,32
20,icmp,int,1
21,load,int,32
22,mul,int,32
23,sdiv,int,32
24,sub,int,32
25,load,int,32
26,add,int,32
27,load,int,32
28,add,int,32
29,load,int,32
30,icmp,int,1
31,load,int,32
32,mul,int,32
33,sdiv,int,32
34,load,int,32
35,add,int,32
36,load,int,32
37,add,int,32
38,load,int,32
39,icmp,int,1
40,load,int,32
41,mul,int,32
42,sdiv,int,32
43,sub,int,32
44,load,int,32
45,add,int,32
46,load,int,32
47,add,int,32
48,load,int,32
49,icmp,int,1
50,load,int,32
51,mul,int,32
52,sdiv,int,32
53,load,int,32
54,add,int,32
55,load,int,32
56,add,int,32
57,load,int,32
58,icmp,int,1
59,load,int,32
60,mul,int,32
61,sdiv,int,32
62,sub,int,32
63,load,int,32
64,add,int,32
65,load,int,32
66,add,int,32
67,load,float,32
68,load,float,32
69,fmul,float,32
70,load,float,32
71,load,float,32
72,fmul,float,32
73,fadd,float,32
74,load,float,32
75,call,float,32
76,load,float,32
77,fneg,float,32
78,load,float,32
79,fneg,float,32
80,load,float,32
81,load,float,32
82,call,float,32
83,call,float,32
84,fcmp,int,1
85,fcmp,int,1
86,bitcast,int,32
87,icmp,int,1
88,select,float,32
89,bitcast,int,32
90,bitcast,int,32
91,and,int,32
92,or,int,32
93,bitcast,float,32
94,fcmp,int,1
95,fcmp,int,1
96,bitcast,int,32
97,icmp,int,1
98,select,float,32
99,bitcast,int,32
100,bitcast,int,32
101,and,int,32
102,or,int,32
103,bitcast,float,32
104,call,float,32
105,call,float,32
106,fdiv,float,32
107,call,float,32
108,call,float,32
109,call,float,32
110,fmul,float,32
111,fmul,float,32
112,fadd,float,32
113,call,float,32
114,call,float,32
115,fdiv,float,32
116,call,float,32
117,fcmp,int,1
118,fsub,float,32
119,phi,float,32
120,bitcast,int,32
121,icmp,int,1
122,fsub,float,32
123,phi,float,32
124,bitcast,int,32
125,bitcast,int,32
126,and,int,32
127,or,int,32
128,bitcast,float,32
129,fadd,float,32
130,fcmp,int,1
131,phi,float,32
132,phi,float,32
133,phi,float,32
134,fdiv,float,32
135,load,float,32
136,fadd,float,32
137,fdiv,float,32
138,fmul,float,32
139,load,float,32
140,fptosi,int,32
141,load,int,32
142,add,int,32
143,srem,int,32
144,load,float,32
145,load,int,32
146,sitofp,float,32
147,fsub,float,32
148,load,int,32
149,icmp,int,1
150,load,int,32
151,sext,int,64
152,load,int,32
153,sext,int,64
154,load,int,32
155,sitofp,float,32
156,fdiv,float,32
157,load,int,32
158,sext,int,64
159,load,int,32
160,sext,int,64
161,load,int,32
162,sitofp,float,32
163,fdiv,float,32
164,load,float,32
165,fsub,float,32
166,load,float,32
167,fmul,float,32
168,load,float,32
169,load,float,32
170,fmul,float,32
171,fadd,float,32
172,load,float,32
173,fcmp,int,1
174,load,float,32
175,load,float,32
176,fsub,float,32
177,fmul,float,32
178,fsub,float,32
179,load,float,32
180,fmul,float,32
181,load,float,32
182,fmul,float,32
183,fptosi,int,32
184,trunc,int,8
185,load,int,32
186,sub,int,32
187,sext,int,64
188,load,int,32
189,add,int,32
190,call,int,32
191,call,int,32
192,mul,int,32
193,call,int,32
194,add,int,32
195,call,int,32
196,call,int,32
197,mul,int,32
198,call,int,32
199,add,int,32
200,load,int,32
201,load,int,32
202,icmp,int,1
203,load,int,32
204,load,int,32
205,icmp,int,1
206,load,int,32
207,sitofp,float,32
208,load,int,32
209,sitofp,float,32
210,fdiv,float,32
211,load,float,32
212,fmul,float,32
213,load,float,32
214,fsub,float,32
215,load,int,32
216,sitofp,float,32
217,load,int,32
218,sitofp,float,32
219,fdiv,float,32
220,load,float,32
221,fmul,float,32
222,load,float,32
223,fsub,float,32
224,load,int,32
225,load,int,32
226,icmp,int,1
227,load,int,32
228,load,int,32
229,icmp,int,1
230,load,int,32
231,load,int,32
232,mul,int,32
233,load,int,32
234,add,int,32
235,mul,int,32
236,sext,int,64
237,load,float,32
238,load,float,32
239,fdiv,float,32
240,load,float,32
241,load,float,32
242,fdiv,float,32
243,load,int,64
